letter,count
a, 12900
b, 4862
c, 4316
d,2743
e,3499
f,4134
g,1771
h,3109
i,8724
j,355
k,468
l,2691
m,4823
n,2071
o,9735
p,3893
q,173
r,2511
s,7430
t,18609
u,1111
v,944
w,5894
x,32
y,479
z,55
æ,6
đ,1
ʈ,1
բ,1
