"Agricultural methane emissions (% of total)";"Agricultural nitrous oxide emissions (% of total)";"Agriculture, forestry, and fishing, value added (current US$)";"Changes in inventories (current US$)";"CO2 emissions from electricity and heat production, total (% of total fuel combustion)";"CO2 emissions from gaseous fuel consumption (% of total)";"CO2 emissions from gaseous fuel consumption (kt)";"CO2 emissions from liquid fuel consumption (% of total)";"CO2 emissions from liquid fuel consumption (kt)";"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)";"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)";"CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)";"CO2 emissions from solid fuel consumption (% of total)";"CO2 emissions from solid fuel consumption (kt)";"CO2 emissions from transport (% of total fuel combustion)";"CO2 intensity (kg per kg of oil equivalent energy use)";"Energy related methane emissions (% of total)";"Exports of goods and services (current US$)";"External balance on goods and services (current US$)";"Final consumption expenditure (current US$)";"GDP (current US$)";"GDP per capita (current US$)";"General government final consumption expenditure (current US$)";"GNI (current US$)";"Gross capital formation (current US$)";"Gross domestic savings (current US$)";"Gross fixed capital formation (current US$)";"Gross national expenditure (current US$)";"Gross savings (current US$)";"Gross value added at basic prices (GVA) (current US$)";"Households and NPISHs Final consumption expenditure (current US$)";"Imports of goods and services (current US$)";"Industry (including construction), value added (current US$)";"Manufacturing, value added (current US$)";"Net primary income (Net income from abroad) (current US$)";"Net secondary income (Net current transfers from abroad) (current US$)";"Nitrous oxide emissions in energy sector (% of total)";"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)";"Services, value added (current US$)";"Taxes less subsidies on products (current US$)";"Country";"Year"
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Venezuela, RB";2021
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Bolivia";2022
"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Botswana";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Cameroon";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Chile";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Colombia";2022
"true";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Denmark";2022
"true";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Dominican Republic";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Ecuador";2022
"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Egypt, Arab Rep.";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Finland";2022
"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"true";"France";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Ghana";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Honduras";2022
"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"India";2022
"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Jordan";2022
"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Korea, Rep.";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Malaysia";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Mauritius";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Mexico";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Morocco";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Nepal";2022
"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Netherlands";2022
"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Nigeria";2022
"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Pakistan";2022
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Panama";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Sweden";2022
"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Turkiye";2022
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Venezuela, RB";2022
