Country;Year;Agricultural methane emissions (% of total);Agricultural methane emissions (thousand metric tons of CO2 equivalent);Agricultural nitrous oxide emissions (% of total);Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);Agriculture, forestry, and fishing, value added (current US$);Changes in inventories (current US$);CO2 emissions (kg per 2015 US$ of GDP);CO2 emissions (kg per 2017 PPP $ of GDP);CO2 emissions (kg per PPP $ of GDP);CO2 emissions (kt);CO2 emissions (metric tons per capita);CO2 emissions from electricity and heat production, total (% of total fuel combustion);CO2 emissions from gaseous fuel consumption (% of total);CO2 emissions from gaseous fuel consumption (kt);CO2 emissions from liquid fuel consumption (% of total);CO2 emissions from liquid fuel consumption (kt);CO2 emissions from manufacturing industries and construction (% of total fuel combustion);CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);CO2 emissions from solid fuel consumption (% of total);CO2 emissions from solid fuel consumption (kt);CO2 emissions from transport (% of total fuel combustion);CO2 intensity (kg per kg of oil equivalent energy use);Energy related methane emissions (% of total);Exports of goods and services (current US$);External balance on goods and services (current US$);Final consumption expenditure (current US$);GDP (current US$);GDP per capita (current US$);General government final consumption expenditure (current US$);GHG net emissions/removals by LUCF (Mt of CO2 equivalent);GNI (current US$);Gross capital formation (current US$);Gross domestic savings (current US$);Gross fixed capital formation (current US$);Gross national expenditure (current US$);Gross savings (current US$);Gross value added at basic prices (GVA) (current US$);HFC gas emissions (thousand metric tons of CO2 equivalent);Households and NPISHs Final consumption expenditure (current US$);Imports of goods and services (current US$);Industry (including construction), value added (current US$);Manufacturing, value added (current US$);Methane emissions (% change from 1990);Methane emissions (kt of CO2 equivalent);Methane emissions in energy sector (thousand metric tons of CO2 equivalent);Net primary income (Net income from abroad) (current US$);Net secondary income (Net current transfers from abroad) (current US$);Nitrous oxide emissions (% change from 1990);Nitrous oxide emissions (thousand metric tons of CO2 equivalent);Nitrous oxide emissions in energy sector (% of total);Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent);Other greenhouse gas emissions (% change from 1990);Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent);PFC gas emissions (thousand metric tons of CO2 equivalent);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total);Services, value added (current US$);SF6 gas emissions (thousand metric tons of CO2 equivalent);Taxes less subsidies on products (current US$);Total greenhouse gas emissions (% change from 1990);Total greenhouse gas emissions (kt of CO2 equivalent)
Australia;2008;63.75022236;;80.64388224;;;-1.10E+09;;;;;;53.334196;11.32143011;28994.969;29.83634255;76412.946;17.17132505;1.46652864;3.364389234;57.59797254;147512.409;24.66356108;3.299609265;23.90226227;2.93E+10;-3.02E+09;1.43E+11;1.89E+11;11650.84187;3.67E+10;;1.86E+11;5.18E+10;4.60E+10;5.29E+10;1.95E+11;;;;1.07E+11;3.23E+10;;;;;;-3.44E+09;3.12E+08;;;3.8129486;;;9421.270891;;;;;;;;;;;
Austria;2008;50.93429755;;53.34099352;;3.97E+09;-1.93E+07;;;;;;25.77319588;16.69524354;9640.543;53.74992062;31037.488;20.17945781;3.837342497;27.89232532;25.64933003;14811.013;22.3176785;2.401269668;20.94807494;3.90E+10;-5.13E+07;9.38E+10;1.24E+11;16392.76952;2.33E+10;;1.24E+11;2.99E+10;3.04E+10;3.00E+10;1.24E+11;;1.10E+11;;7.05E+10;3.90E+10;3.69E+10;2.41E+10;;;;-2.89E+08;-6.49E+08;;;9.176616119;;;1463.340625;;;;;;;6.90E+10;;1.43E+10;;
Azerbaijan;2008;38.25347958;;84.23390896;;;;;;;;;;;;;;;;;;;;;49.91010825;;;;;;;;;;;;;;;;;;;;;;;;;;;1.990147255;;;-20652.62349;;;;;;;;;;;
Bahamas, The;2008;3.585955584;;13.17585369;;4.96E+07;2000000;;;;;;;0;0;100;1422.796;;;;0;0;;;8.646585706;1.66E+09;1.50E+08;2.05E+09;2.71E+09;10617.40527;3.26E+08;;2.53E+09;5.10E+08;6.60E+08;5.08E+08;2.56E+09;4.75E+08;2.38E+09;;1.73E+09;1.51E+09;;;;;;-1.83E+08;;;;24.33778649;;;829.9929267;;;;;;;1.98E+09;;3.35E+08;;
Bahrain;2008;0.856651349;;14.10638636;;4.55E+07;9.95E+07;;;;;;89.91683992;78.69746551;8995.151;21.33461662;2438.555;0.207900208;0;1.03950104;0;0;8.731808732;2.673081807;90.67455191;3.47E+09;5.08E+08;2.02E+09;3.39E+09;7270.200316;8.27E+08;;3.00E+09;8.64E+08;1.37E+09;7.64E+08;2.88E+09;8.44E+08;;;1.19E+09;2.96E+09;1.49E+09;5.44E+08;;;;-3.96E+08;-1.31E+08;;;19.45089543;;;2153.716066;;;;;;;;;;;
Bangladesh;2008;81.29357718;;76.15305958;;7.94E+09;;;;;;;39.36170213;50.01545595;5933.206;44.94590417;5331.818;18.82978723;8.191489362;18.40425532;3.740340031;443.707;15.10638298;1.130980739;5.98260239;1.21E+09;-1.63E+09;2.09E+10;2.43E+10;241.7949085;1.01E+09;;2.49E+10;3.76E+09;3.43E+09;3.76E+09;2.46E+10;5.50E+09;2.38E+10;;1.99E+10;2.84E+09;4.76E+09;3.27E+09;;;;5.69E+08;6.08E+08;;;8.457422806;;;8522.959048;;;;;;;1.11E+10;;5.45E+08;;
Barbados;2008;37.53007682;;56.90729106;;8.53E+07;3380897.927;;;;;;;4.6692607;44.004;84.82490272;799.406;;;;0;0;;;10.5616998;6.60E+08;1044100.83;1.22E+09;1.70E+09;6589.383144;2.47E+08;;1.67E+09;2.32E+08;4.89E+08;2.29E+08;1.45E+09;4.55E+08;1.24E+09;;9.68E+08;6.59E+08;2.32E+08;1.11E+08;;;;-3.34E+07;5667975.936;;;7.624010207;;;102.2880052;;;;;;;9.25E+08;;2.06E+08;;
Belarus;2008;80.42360228;;69.73398058;;;;;;;;;;;;;;;;;;;;;3.301409973;;;;;;;;;;;;;;;;;;;;;;;;;;;6.204445113;;;39524.63633;;;;;;;;;;;
Belgium;2008;47.63091704;;23.95231626;;;8.37E+08;;;;;;26.29812438;14.6514936;15108.04;47.21194879;48683.092;25.74531096;1.352418559;28.39091807;35.38051209;36482.983;18.21322804;2.209785487;30.33050729;8.35E+10;2.71E+09;1.17E+11;1.49E+11;15135.85231;3.36E+10;;1.50E+11;2.93E+10;3.20E+10;2.85E+10;1.47E+11;;1.35E+11;;8.38E+10;8.07E+10;;;;;;8.76E+08;-1.29E+09;;;3.877165219;;;1034.624844;;;;;;;;;1.43E+10;;
Belize;2008;66.51462287;;86.10673809;;5.35E+07;1538008.3;;;;;;;0;0;100;227.354;;;;0;0;;;13.43549817;1.38E+08;-9305608.36;1.64E+08;2.81E+08;1643.949927;4.52E+07;;2.75E+08;5.90E+07;1.17E+08;5.74E+07;2.23E+08;1.42E+08;2.53E+08;;1.19E+08;1.47E+08;5.94E+07;3.93E+07;;;;-6100000;3.10E+07;;;4.544699323;;;-113.9794361;;;;;;;1.43E+08;;2.98E+07;;
Benin;2008;36.76681184;;47.75202752;;5.20E+08;-6987502.563;;;;;;8.333333333;0;0;72.10884354;388.702;5.555555556;0;8.333333333;0;0;77.77777778;0.341407294;17.27661552;2.39E+08;-2.45E+08;1.61E+09;1.56E+09;333.2231184;2.43E+08;;1.53E+09;2.02E+08;-4.31E+07;2.09E+08;1.81E+09;6.81E+07;1.56E+09;;1.36E+09;4.84E+08;1.93E+08;1.12E+08;;;;-2.86E+07;8.12E+07;;;3.035313384;;;30344.43701;;;;;;;8.49E+08;;;;
Bermuda;2008;6.009851308;;7.672296984;;;;;;;;;;0;0;100;572.052;;;;0;0;;;7.425687255;;;;1.30E+09;22411.79567;;;;;;;;;;;;;;;;;;;;;;27.2142696;;;97.21944407;;;;;;;;;;;
Bhutan;2008;55.86539031;;56.49480404;;8.01E+07;3128819.967;;;;;;;0;0;57.14285714;58.672;;;;42.85714286;44.004;;;30.68349444;5.96E+07;-3.68E+07;;2.43E+08;472.2383038;3.55E+07;;2.11E+08;9.33E+07;;9.02E+07;;;2.37E+08;;;9.64E+07;6.47E+07;1.44E+07;;;;-3.13E+07;;;;39.01435358;;;-453.2870156;;;;;;;9.20E+07;;5917524.978;;
Bolivia;2008;50.38672644;;51.25596529;;7.09E+08;6.19E+07;;;;;;29.1954023;15.01364877;605.055;72.97543221;2940.934;8.735632184;1.83908046;14.71264368;0;0;45.51724138;1.825968503;10.4635357;8.54E+08;-1.90E+08;3.95E+09;4.35E+09;652.7057594;4.84E+08;;4.05E+09;5.87E+08;3.98E+08;5.25E+08;4.54E+09;2.07E+08;4.00E+09;;3.47E+09;1.04E+09;1.32E+09;7.43E+08;;;;-2.78E+08;1.12E+08;;;0.553602454;;;153379.5208;;;;;;;2.03E+09;;3.49E+08;;
Bosnia and Herzegovina;2008;37.45724347;;75.94808918;;;;;;;;;;;;;;;;;;;;;57.81333947;;;;;;;;;;;;;;;;;;;;;;;;;;;7.38146941;;;-1852.675537;;;;;;;;;;;
Botswana;2008;90.76591376;;89.85058058;;1.23E+08;-2.36E+08;;;;;;43.57541899;0;0;0;0;28.49162011;1.675977654;2.793296089;100;1239.446;23.46368715;1.321964336;5.324264152;1.48E+09;5.24E+08;1.14E+09;1.97E+09;1610.365363;5.29E+08;;1.73E+09;3.05E+08;8.29E+08;5.41E+08;1.44E+09;7.61E+08;1.83E+09;;6.08E+08;9.52E+08;1.14E+09;1.08E+08;;;;-2.36E+08;1.68E+08;;;0.533002948;;;-550.0765092;;;;;;;5.69E+08;;1.33E+08;;
